dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.1226968765258789,1.7939848899841309,0.1897253990173339,9.894371032714844e-05,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10210,10210,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.1226968765258789,32.06505608558655,37.219250440597534,1.415485143661499,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,9361,19331,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,4,No,0.1226968765258789,22.515638828277588,72.35319542884827,5.994089841842651,-2,0.9999999998000596,0.9999999997126352,0.9999755004042432,-2,0.2618678624209751,-2,-2,-2,0.8804361952784471,0.8923527373776938,0.5818898988166695,-2,1.3167458420280551,-2,-2,6110,19526,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,2,3,No,0.1226968765258789,1.6550931930541992,88.63478302955627,55.330965518951416,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10210,27943,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,2,7,No,0.1226968765258789,30.36691641807556,166.1498522758484,4.885788679122925,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10100,68756,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.1_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,2,1,No,0.1226968765258789,27.05464768409729,5.1929099559783936,5.010361671447754,-2,0.9999999988335112,0.9999999985631766,1.0,-2,0.2816689289736596,-2,-2,-2,0.8778247475183646,0.8902191236738501,0.5774881381123879,-2,1.3211682113930607,-2,-2,5808,5808,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.1269917488098144,12.854320287704468,1.886474847793579,1.7064831256866455,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10214,10214,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.1269917488098144,16.047590017318726,1.6744661331176758,1.4914658069610596,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,9869,9869,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,1,2,No,0.1269917488098144,19.05173134803772,13.46273922920227,1.1374695301055908,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10214,19469,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,1,1,No,0.1269917488098144,17.465575218200684,38.71895217895508,38.5384840965271,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,9868,9868,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,ModelSelection,gemini-1.5-pro-latest,Auto,multiclass,True,1,7,No,0.1269917488098144,26.62567138671875,214.2545385360717,50.87946057319641,-2,1.0,1.0,1.0,-2,0.2965027919409521,-2,-2,-2,0.8443320689659861,0.8505237879086953,0.4790487623620877,-2,1.4701540528605506,-2,-2,5310,33569,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,2,7,No,0.1269917488098144,15.550832986831663,81.3857934474945,1.2312967777252195,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10214,64776,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.1269917488098144,23.985877990722656,22.71228528022766,1.2561347484588623,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,9886,19414,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,DataPreprocessing,gemini-1.5-pro-latest,Auto,multiclass,True,2,2,No,0.1269917488098144,13.245962619781494,17.185405731201172,4.690424680709839,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,10214,19235,Gen-and-Run-Pipeline,0
gen_dataset_54-out-0-np-1-nc-180-mv-0.2_rnc,CatDBChain,FeatureEngineering,gemini-1.5-pro-latest,Auto,multiclass,True,2,3,No,0.1269917488098144,21.12177062034607,31.44092321395874,1.1804885864257812,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,-2,-2.0,-2.0,-2.0,-2,-2.0,-2,-2,9889,28529,Gen-and-Run-Pipeline,0
